"Reference","Value","Part Number","Datasheet","Footprint","Qty","DNP"
"J1,J2,J3,J4","Conn_01x03_Pin","B3B-XH-A","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","4",""
"C1,C2,C3,C4","0.1uF","FA18X7R1H104KNU00","http://www.farnell.com/datasheets/2923220.pdf","FA14_Capacitor:FA18X7R1H104KNU00","4",""
"R1,R2,R3,R4","1k","MCF 0.25W 1K","https://www.farnell.com/datasheets/3436052.pdf?_gl=1*j4k0i6*_gcl_au*OTY1ODIxNDc3LjE3MzU0MDg2OTk.","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
